party,url,content,date
conservative,https://www.conservative.ca/a-new-conservative-government-will-close-the-loophole-in-the-safe-third-country-agreement/,"
Scheer to restore order, fairness, and compassion to Canada’s immigration system
A new Conservative government will restore
public confidence in Canada’s immigration system by stopping the flow of
illegal border crossers from the United States and prioritizing newcomers from
the world’s most dangerous countries, Conservative Leader Andrew Scheer said.
“Canadians’ confidence in the immigration system has been
rocked by Justin Trudeau’s chaos and mismanagement,” Scheer said. “When
everybody follows the rules and the laws are enforced, immigration is good for
the economy, good for jobs, and good for the people who have chosen to come to
Canada.
As Prime Minister, I will take steps to restore confidence
in the system and make sure Canada’s immigration system prioritizes those who
need Canada’s help the most.”
As Prime Minister, Andrew Scheer will:
Prioritize funding to support immigration services like language training, credential recognition, as      well as services specifically designed for vulnerable newcomers like women, girls, and members of the LGBTQ+ community.Prioritize those who apply to come to Canada through the appropriate immigration streams, especially in the family reunification program.Close the loophole in the Safe Third Country Agreement.Move existing Immigration and Refugee Board judges to common illegal border crossing points, speeding up the process and therefore making it less attractive to enter Canada illegally.Hire an additional 250 CBSA enforcement officers.Listen carefully to provinces on immigration issues, with an aim to work closely to best accommodate their needs and priorities. A Conservative government would be ready to negotiate with the Government of Quebec to discuss the selection of those who wish to settle in Quebec.  We will be open to requests to amend the Canada-Quebec Accord on Immigration.
“These measures will restore fairness and compassion to
our immigration system while providing stronger enforcement of the law at the
border,” said Scheer. “If these measures aren’t taken, confidence in
immigration will continue to slide and legitimate refugees will wait longer and
longer for Canada’s help.”
FACTS:
In 2017, Justin Trudeau created an illegal border crossing crisis in Canada with his #WelcomeToCanada tweet, resulting in more than 50,000 illegal border crossers entering Canada and      costing taxpayers $1.6 billion.A poll in August 2018 found that 65% of Canadians believed the massive influx of illegal border crossers      was a “crisis.”Justin Trudeau has compensated Roxham Road residents $400,000 of taxpayer money for “disruptions” from those crossing the border illegally.Canada is built on a rock-solid foundation of enduring values, democratic institutions, the rule of law, and fundamental and universal human rights, and these values must be reflected in our immigration system.Only a Conservative government will restore compassion and fairness to Canada’s immigration system while protecting and securing our borders.
ANDREW SCHEER’S PLAN FOR YOU TO GET AHEAD:
Scrap the Trudeau Carbon Tax, lowering the cost of everyday essentials like gas, groceries, and home heating.Introduce the Universal Tax Cut, saving an average couple $850.Take the GST off home heating costs, saving your      family $107 every year.Introduce the Green Public Transit Tax Credit, saving a family of four who take transit up to $1,000.Make maternity benefits tax-free, putting up to $4,000 back in the pockets of new parents.Introduce the Children’s Fitness Tax Credit, allowing parents to claim up to $1,000 for sports activities.Introduce the Children’s Arts and Learning Tax      Credit, letting parents claim up to $500 for arts and learning programs.Expand the Age Credit, benefiting the lowest income      Canadians the most and giving a senior couple up to $300.Boost government-matching to RESPs by 50%, helping parents get more for their kids’ education.Introduce the Green Home Renovation Tax Credit, putting up to $3,800 back in the pockets of Canadians      for green home improvements.
SUPPORTING DOCUMENTATION:
– Backgrounder
– PBO Costing
",2019-10-09
conservative,https://www.conservative.ca/the-last-time-justin-trudeau-needed-money-he-raised-taxes-on-canadians-living-with-disabilities/,"
Trudeau can’t be trusted to make life more
affordable for you and your family  
Ottawa,
Ontario – Yesterday, as part of the Liberal platform, Justin Trudeau announced
an expansion of the Child Disability Tax Credit. 
But
the last time Justin Trudeau needed money for his out-of-control deficit
spending he targeted Canadians living with disabilities to pay the bill.
In
2016 Justin Trudeau ordered the Canada Revenue Agency (CRA) to crack down on
“tax cheats”. As a result, the CRA started clawing back disability benefits –
cutting off diabetics, children with Autism, and a number of other Canadians
living with chronic conditions. 
The result was endless hardship for Canadians
living with disabilities.
CRA policy change prompted
diabetes tax credit denials, health groups allege https://www.ctvnews.ca/politics/cra-policy-change-prompted-diabetes-tax-credit-denials-health-groups-allege-1.3706393
The CRA makes it so hard to get the disability tax credit, many don’t even try  https://globalnews.ca/news/3956042/cra-disability-tax-credit-canada/beta/?utm_expid=.kz0UD5JkQOCo6yMqxGqECg.1&utm_referrer=https%3A%2F%2Fwww.google.ca%2F 
CRA backs down in row with diabetics
denied disability tax credit
https://www.ctvnews.ca/politics/cra-backs-down-in-row-with-diabetics-denied-disability-tax-credit-1.3713390
The CRA Is Denying The Disability Tax Credit To Some With Disabilities
https://www.huffingtonpost.ca/jennifer-zwicker/the-cra-is-denying-the-disability-tax-credit-to-some-with-disabilities_a_23338492/
When Justin Trudeau doesn’t need your vote
but he still needs your money, Trudeau will again raise taxes on Canadians
living with disabilities. 
Trudeau simply cannot be trusted to make
life more affordable for these families, he is simply not as advertised.   
Only Andrew Scheer and the Conservatives
can be trusted to put more money back in your pocket to help you and your
family get ahead.
",2019-09-30
conservative,https://www.conservative.ca/the-hon-andrew-scheer-leader-of-canadas-conservatives-issues-statement-on-rosh-hashanah/,"
SEPTEMBER 29, 2019
FOR IMMEDIATE RELEASE
OTTAWA, ON – The Hon. Andrew Scheer, Leader of Canada’s Conservatives and the Official Opposition, issued the following statement:
“As Jewish communities in Canada and around the world prepare to mark Rosh Hashanah and the beginning of the High Holy Days, tonight’s sunset brings with it the Jewish New Year. 

“Rosh Hashanah is celebrated on the first two days of the month of Tishrei and commemorates the day the universe was created by God. Following the sounding of the shofar – the ram’s horn – Jewish community members will recite blessings and light candles.  

“As friends and families share meals with sweet challah and apple slices dipped in honey, they will reflect on renewal, and hope for an abundant year ahead. 

“Canada has truly been blessed by the strong presence of the Canadian Jewish community which continue to add to our country’s culture and values of pluralism and freedom. This Rosh Hashanah, we recommit ourselves to combat all forms of antisemitism and to work together to better our country.

“On behalf of the Canada’s Conservatives, I extend my best wishes to the Jewish community, across Canada and around the world, celebrating Rosh Hashanah. 

“Shana tova ve’metuka!”
-30-
",2019-09-29
conservative,https://www.conservative.ca/100-day-action-plan-repealing-trudeau-carbon-tax-before-january-1/,"
Families will start saving hundreds of dollars per year for coldest winter months
As part of its 100 Day Action Plan, a new
Conservative government will repeal Justin Trudeau’s carbon tax as its first
piece of legislation, Conservative Leader Andrew Scheer said today. 
Scheer has already announced that he will convene
Parliament, at which time he will introduce and pass the Carbon
Tax Repeal Act so Canadians aren’t stuck paying a carbon tax over
another long, cold winter.
“Canadians cannot afford to be punished every time they
drive their kids to school or turn up their thermostat on a cold winter day,”
Scheer said. “That’s why a new Conservative government will make sure Trudeau’s
carbon tax is history by January 1 and we will use every legislative tool at
our disposal to get it done.”
Trudeau’s Environment Minister Catherine McKenna has
already confirmed that the carbon tax will go up if the Liberals are
re-elected, but hasn’t said by how much. With Trudeau and the NDP now scheming
to form a coalition government, Scheer said the carbon tax will go through the
roof.
“A government with Trudeau as the spokesman and the NDP
calling the shots would be the worst possible outcome for Canadians,” Scheer
said. “Part of the NDP’s price to keep Trudeau in power will be a massive
increase to the carbon tax. It’s the coalition Canadians can’t afford.”
Scheer also highlighted another part of his 100 Day Action
Plan: removing the GST from Canadians’ home heating bills.
“In Canada, heating your home is not a luxury, it’s a
necessity,” Scheer said.  “Rising home energy costs are a particular
burden on low and middle class families. Justin Trudeau believes we should tax
these families for the privilege of heating their homes. I disagree. I will
take the GST off home heating in my first 100 days as Prime Minister.”
Scheer highlighted how families in Ontario will save as a
result of these measures.  Repealing the Trudeau Carbon Tax will save the
average Ontario family $244 per year, while
removing the GST on home energy costs will save them
$114 more.  
ANDREW SCHEER’S FIRST 100 DAY ACTION PLAN
Introduce
‘Get Ahead Fiscal Update’ within 45 of days of taking office.Implement
Green Home Renovation Tax Credit, Children’s Fitness Tax Credit,Children’s
Arts and Learning Tax Credit and Green Public Transit Tax Credit by January 1,
2020.Call
a Premier’s Meeting for January 6, 2020, to discuss removing trade barriers
between provinces.Begin
negotiations with Quebec on a single tax return.Bring
in a maximum penalty of $20,000 for politicians who break the Conflict of Interest Act.Scrap
the Trudeau Carbon Tax by January 1, 2020.Take
the GST off home energy costs by January 1, 2020.
HOW YOU WILL GET AHEAD: 
Under a new Conservative
     government, an average retired couple living in Tsawwassen will save $2,580 a year.Under a new Conservative
     government, a family of four – soon to be five – in Montreal will save $4,642 a year.Under a new Conservative
     government, a family of four in Markham will save $3,264 a year. 
ANDREW SCHEER’S PLAN TO HELP YOU GET AHEAD
Scrap the Trudeau Carbon Tax, lowering the cost of everyday
     essentials like gas, groceries, and home heating.Introduce the Universal Tax Cut, saving an average couple $850.Take the GST off home heating costs,
     saving your family $107 every year.Introduce the Green Public Transit Tax Credit, saving a family of four who take
     transit up to $1,000.Make maternity benefits tax-free, putting up to $4,000 back in the pockets of new
     parents.Introduce the Children’s Fitness Tax Credit, allowing parents to claim up to $1,000 for sports activities.Introduce the Children’s Arts and Learning Tax
     Credit, letting parents claim up to $500 for arts and learning
     programs.Expand the Age Credit, benefiting the lowest income
     Canadians the most and giving a senior couple up to $300.Boost government-matching to RESPs
     by 50%, helping parents get more for
     their kids’ education.Introduce the Green Home Renovation Tax Credit, putting up to $3,800 back in the pockets of
     Canadians for green home improvements.
",2019-10-17
conservative,https://www.conservative.ca/justin-trudeau-refuses-to-rule-out-banning-employee-drug-benefits/,"
Trudeau’s plan means less coverage and higher prices for you
Justin Trudeau today left the door wide open to
banning employer drug coverage if he’s re-elected on October 21.
When asked by journalists if his pharmacare
plan would replace current employee drug plans with a government-imposed plan,
Trudeau refused to answer. 
In fact, the report Trudeau based this
announcement on recommended an end to employee drug benefits. 
Today’s announcement is a desperate attempt by
Justin Trudeau to distract from his scandals. 
Trudeau’s Liberals promised pharmacare in 1997
and 2004. They broke their promise then and Justin Trudeau will do it again.
Trudeau cannot be trusted and he is not as advertised.
The proof that he plans to break his promise is
found in the fact that Trudeau is only offering a fraction of the funding
needed to achieve universal pharmacare coverage.  
To pay for his massive deficits, Justin Trudeau
will cut health care funding or raise taxes on middle-class families. Liberal
cuts are exactly what happened in the 1990s, cuts Trudeau said he supported. 
Only Andrew Scheer and the Conservative Party
can be trusted to maintain and increase health care spending by 3% per year.
Under a new Conservative government, Canadians will be able to count on stable
and predictable health and social program funding.
",2019-09-23
conservative,https://www.conservative.ca/canadas-conservatives-announce-plan-to-support-fisheries/,"
A new Conservative government would engage new strategies, partnerships
and provide funding to support critical industry
Alfie MacLeod, Conservative Candidate for Cape Breton
– Canso, and Eddie Orrell, Conservative Candidate for Sydney – Victoria, were
in Glace Bay today to speak with local fish harvesters about Andrew Scheer’s
plan to promote and support Canada’s fisheries by adopting new strategies and
partnerships to strengthen relationships and build consensus on how to restore
fish stocks. Similar announcements were made by Conservative candidates across
the country.
“The Trudeau Liberals have failed to consult fish
harvesters over the past four years and this has had a real impact on our
coastal communities,” said Alfie MacLeod. “Livelihoods throughout our
province depend on the fishery. 
Conservatives will work with Nova Scotians to strengthen this vital
resource.”
To renew engagement and consultation to support our
fisheries, a new Conservative government will:
Create advisory panels with fish harvesters and anglers, Indigenous groups, and other experts
as appropriate, to rebuild critical stocks and ensure that everyone is working
together. Enhance and rebuild wild Atlantic and Pacific salmon stocks by increasing support for community-led conservation and enhancement
projects and increasing the price of the Salmon Conservation Stamp for
non-residents to benefit the Pacific Salmon Foundation.Complete new recovery
plans for all of Canada’s critical fisheries and develop strategies for managing
predators and invasive species where necessary.Repeal measures that
bypass community consultations for Marine Protected Areas while ensuring that the process is robust and timely. Justin Trudeau’s changes have short
circuited important community consultations for Marine Protected Areas. Work with industry to
develop a strategy for preventing seafood fraud.Create a modern
aquaculture act.Support the advancement
of technology and practices that reduce contact between wild and farmed salmon.
“It is so important to note the important role that
fisheries play in our local economies,” said Alfie MacLeod. “To maintain
infrastructure and support communities, a new Conservative government will provide $250 million in additional support for small craft harbours.”
Supporting our fisheries is also an important part of A
Real Plan to Protect Our Environment. As part of our
efforts to combat oceans plastic, a new Conservative government will work with
international partners to reduce the prevalence of “ghost gear”, or abandoned
and lost gear, which entangles marine wildlife and contributes to the world’s
oceans’ plastic problem. We will work to protect our oceans against one of the
deadliest forms of marine litter.
“A new Conservative government will support our fishing
industry to ensure our local communities and economies continue to thrive,”
said Eddie Orrell. “These are necessary measures – strategies, partnerships,
and funding – to make sure this critical industry continues to thrive.”
Andrew
Scheer, Leader of Canada’s Conservatives: “Justin Trudeau is not as advertised.
This election, Canadians have a choice. Between the poor judgement of Justin
Trudeau, and a new, positive Conservative government that will take immediate
action to give you more help at home.”  
Supporting Document:
Backgrounder
",2019-10-06
conservative,https://www.conservative.ca/justin-trudeau-is-misleading-canadians-about-the-conservative-plan-to-support-health-care/,"
Conservatives plan to increase health care transfers to the provinces by at least 3% per year
When it comes to improving Canada’s health
care system, Canadians can only trust a Conservative Government led by Prime
Minister Andrew Scheer. Justin Trudeau is simply not as advertised.
Under a Conservative government, funding for health care
will increase by at least 3% every single year, and we will maintain additional
Shared Health Priorities funding for mental health and home care for provinces.
We will make major investments in new medical equipment
and introduce a National Autism Strategy. Andrew Scheer is also committed to
working with provinces to ensure that Canadians with rare diseases have access
to the treatments that they need.
Unfortunately Canadians cannot trust Justin Trudeau. The
media have already reported that Justin Trudeau’s health care promises won’t fill the
gaps in Canada’s health care system. What’s worse Trudeau’s reckless
deficits will force him to cut health care spending. In fact, in the 1990s,
Liberals cut health care
spending by nearly 40%, cuts Trudeau said he
supported.
Given that Trudeau has historically supported deep health
care cuts, it’s no surprise that he cut health care
for our brave military heroes.
Unlike Justin Trudeau, Andrew Scheer has a real plan, a
plan that helps you get ahead.
",2019-10-15
conservative,https://www.conservative.ca/andrew-scheer-pitches-national-energy-corridor-to-create-jobs-and-unite-canadians/,"
New transnational project to generate economic and social benefits across the country
A new Conservative government will create a national corridor to carry Canadian energy and resources from coast to coast, Conservative Leader Andrew Scheer announced today.
“It’s time for a government that understands we’re in this together,
that Canada works better when we work together,” Scheer said. “A new National
Energy Corridor will create jobs and opportunities while uniting Canadians in
our shared potential and prosperity.” 
A National Energy Corridor will generate
economic and social benefits for the entire country by moving oil, gas,
hydroelectricity, telecommunications, and potentially accommodating other
linear infrastructure. With a single corridor, industry wouldn’t need to submit
complicated proposals for every new project.
A single coast-to-coast corridor would:
minimize environmental impactslower the costs of environmental assessments without sacrificing qualityincrease certainty for investorsget critical projects builtand create good-paying jobs. 
A new Conservative government will appoint a
blue-ribbon task force to provide recommendations within six months of its
establishment on how to proceed. The government would then begin to work with the
provinces and Indigenous peoples – who would both share in the prosperity this
project would provide – to realize this vital coast-to-coast link. 
“As
Canadians, we need to start dreaming big again, and we need to start dreaming
together,” said Scheer. “We need to start building a stronger, more united
country worthy of those who came before us and that our children and
grandchildren deserve.” 
Today’s announcement is part of Andrew
Scheer’s plan to create jobs for Canadians across the country and help you get
ahead.  
Scrap the Trudeau Carbon Tax, lowering the cost of everyday essentials like gas, groceries and home heating.Introduce the Universal Tax Cut, saving a couple earning average salaries $850.Take the GST off home heating costs, saving your family $107 every year.Introduce the Green Public Transit Tax Credit, saving a family of four who take transit up to $1,000.Make maternity benefits tax-free, putting up to $4,000 back in the pockets of new parents. Introduce the Children’s Fitness Tax Credit,      allowing parents to claim up to $1,000 for sports activities.Introduce the Children’s Arts and Learning Tax Credit, letting parents claim up to $500 for arts and      learning programs. Expand the Age Credit, benefiting the lowest      income Canadians the most and giving a senior couple up to $300.Boost government-matching to RESPs by 50 per cent, helping parents get more for their kids’ education.Introduce the Green Home Renovation Tax      Credit, putting up to $3,800 back in the pockets of Canadians for green home improvements. 
SUPPORTING DOCUMENTS:
Background 
",2019-09-28
conservative,https://www.conservative.ca/conservatives-to-support-parents-in-mourning/,"
New conservative government to extend EI parental leave to parents in mourning
A new Conservative government will ensure
that EI parental leave is extended for eight weeks following the death of a
baby, affording parents experiencing unimaginable tragedy a much-needed
opportunity to begin coping with their loss.
“With this policy, we hope to give grieving parents some
much-needed support during a time of unimaginable loss,” said Blake Richards,
Conservative Candidate for Banff-Airdrie. “The government can, and must, do
more to support Canadians undergoing such trying times.”
The loss of a child is a situation no parents should ever
have to face. Unfortunately, so many Canadians across the country are put in
this terrible situation and parents are sometimes forced to return to work with
no opportunity to begin to address the profound and recent tragedy that
confronts them.
Currently, EI parental benefits end abruptly the week
following the loss of a child, which comes as a shock to many. A parent’s
sadness should not be compounded by financial worry, and these parents should
not have to worry about their bottom line. Extending EI parental benefits is
the least a government can do.
“There is nothing that can prepare a parent for this experience. We hope that by offering more time, parents will have the important opportunity to cope, to seek help, and to be comforted by those around then,” said Richards. “My deepest sympathies go out to parents who have struggled with the loss of a child. I am proud that a new Conservative government will do more to provide support and relief to Canadians experiencing such difficult times in their lives.”
Andrew Scheer, Leader of Canada’s Conservatives – “The death of a child, at any age is a painful experience – and the loss of a child is followed by the most intense grief. By extending EI benefits to grieving parents, a Conservative government will provide some relief to mourning parents.”
",2019-10-15
conservative,https://www.conservative.ca/andrew-scheer-promises-more-support-for-canadas-veterans/,"
New Military Covenant will clear backlog for Veterans’ benefits within 24 months
Canadian Veterans struggling with months-long waits
for pensions and benefits can count on a new Conservative government to take
immediate action to get them the support they deserve.
Andrew Scheer, leader of Canada’s Conservatives,
announced a comprehensive plan today to deliver more help to Canada’s Veterans
in a timely and respectful manner.
“To every Veteran who has struggled and who
continues to struggle without the support and benefits you have earned through
your service, my message is this: You deserve better. After October 21, we are
going to make things better,” Scheer said. “Instead of forcing Veterans to work
harder for government benefits, it’s time the government worked harder for our Veterans’
benefit. It’s time for a government that works harder for you; it’s time for
you to get ahead.”
Scheer highlighted that a new Conservative
government will:
Enshrine, in legislation, a Military Covenant between the Government of
Canada and all Canada’s Veterans. This will guarantee that every Veteran is
treated with respect and is provided services in a timely manner.Clear the current backlog of Veterans’ benefit applications within 24
months.Create a reliable, dependable pension system that, unlike the Liberal
status quo, is fair to Canada’s most disabled Veterans.Strengthen transition services to support discharged or retired Canadian
Armed Forces members.Strike an independent inquiry to provide answers about Canadian Armed
Forces members who were administered mefloquine.Provide more service dogs to Canadian Veterans in their communities.Put vital
commemoration projects, like the National Memorial for Canada’s War in
Afghanistan, back on track.
“These actions are simple, straightforward, and
practical,” said Scheer. “They require new investment from a new government, but
even more importantly, they require new priorities.  Our military heroes are deserving. Our
military heroes are worth it.”
In 2015, Justin Trudeau promised that no Veteran
would have to “fight the government for the support and compensation they have
earned.”  Yet under the Trudeau Liberals
the number of Veterans left stranded on government waitlists had ballooned to
40,000 – a growth of over 33 per cent. Worst of all, Trudeau continues to fight
Veterans in court, and has dismissed their concerns saying, “They’re asking for
more than we are able to give.”
“Justin Trudeau never turned back SNC-Lavalin’s
lobbyists or claimed they were ‘asking for more than he was able give’,” said Scheer.
“When corporate lobbyists get the red carpet while Veterans get left out in the
cold, it’s proof that Justin Trudeau is not as advertised.”
“To our Veterans, whether you are among the
vanishing generations of heroes who served in 
World War II and the Korean War, or whether you are one of the heroes of
Afghanistan or conflict zones around the world, you deserve our gratitude,”
said Scheer.  
“When we look out for our Veterans, we are looking
out for the people who dedicated their lives to looking out for us. It’s time
for government that will stand up for our Veterans. It’s time for a
Conservative government that will help you get ahead.”
SUPPORTING
DOCUMENTS
Background 
Independent Parliamentary Budget Officer Costing:
Veterans
Pensions
Eliminate Veterans’ Benefits Backlog 
 Spending for other Veterans’ measures
",2019-09-22
