party,url,content,date
NDP,https://www.ndp.ca/news/jagmeet-singh-and-alexandre-boulerice-introduce-hugo-latulippe-ndp-candidate-montmagny-lislet,"
Jagmeet Singh and Alexandre Boulerice Introduce Hugo Latulippe, NDP Candidate in Montmagny-l'Islet-Kamouraska-Rivière-du-Loup MONTREAL – On Thursday morning, Jagmeet Singh and Alexandre Boulerice introduced author, producer and filmmaker Hugo Latulippe to Montreal media outlets as the NDP candidate for Montmagny-L'Islet-Kamouraska-Rivière-du-Loup for the upcoming federal election. ""I'm ready to take the spirit at the heart of my work in film to a different stage. I'm excited to keep working for the movement I belong to with the NDP on the federal political scene,"" said the man who made a name for himself with the hit TV show La course destination monde. “I will be a voice for 600,000 workers in Canada's cultural sector, which makes up 4% of our economy. I'm also excited to join Jagmeet, Alexandre and the entire NDP team of candidates to speed up the transition of our economy to a 21st century model.” NDP leader Jagmeet Singh was visibly pleased to have such a star candidate in Montmagny-L'Islet-Kamouraska-Rivière-du-Loup. “Hugo is a passionate and honest man who has excelled in all areas of his professional life, while remaining true to his values and principles,"" he said. “I'm thrilled to have him on our team. He’s a person of strong convictions who's focused on the future and on solutions, and he will fight hard to defend the interests of Quebecers.” ",2019-09-05
NDP,https://www.ndp.ca/news/families-cant-go-four-more-years-without-drug-and-dental-care,"
Families Can’t Go Four More Years Without Drug and Dental Care NDP Leader Jagmeet Singh says charging for medicine means families ‘pay up or get sick’ SASKATOON – Decades of Conservative and Liberal governments siding with big pharma, instead of with everyday Canadians, means families are forced to pay up, or get sick — and families can’t go four more years without drug and dental coverage, said NDP Leader Jagmeet Singh. “Because of Justin Trudeau’s choices, there are Canadians who sit at the kitchen table and cut their pills in half to make the bottle last longer,” said Singh. “There are moms and dads who have to make the heartbreaking decision to put off getting their kid’s cavity filled because money’s tight. Families can’t go four more years without the medicine they need. They can’t go four more years without getting their teeth checked.” Rather than expanding health care, the Conservatives would cut and squeeze health care even more. Justin Trudeau promised to help the middle class but did nothing to reduce the cost of prescription drugs, housing or other costs — and, as a result, families are falling further behind. Singh said it’s no surprise Trudeau won’t implement a universal pharmacare plan, since the record shows the Trudeau government has met behind closed doors with pharmaceutical and insurance companies more than 850 times. “No wonder the Liberals have blocked pharmacare and dental coverage. They’re not working for you, and I want people to know that you don’t have to settle for that. No one should have to spend four more years being forced to choose between paying up, or letting their family get sick,” said Singh. “People need a New Deal. Not Conservative cuts that would cost families more and force more folks to end up in jam-packed hospitals. Not a plan to keep protecting the profits of big pharma. A plan to make life affordable and healthy for you and your kids.” Singh’s platform commits to introducing a national universal pharmacare plan by the end of 2020, saving each family more than $500 a year, even if they already have insurance; and a dental plan to provide coverage for millions of families. The NDP’s platform includes a one per cent tax on wealth over $20 million, raising $70 billion over 10 years — funding better, expanded health care. ",2019-10-04
NDP,https://www.ndp.ca/news/ndp-plan-helps-prevent-gang-crime,"
NDP Plan Helps Prevent Gang Crime Jagmeet Singh takes action for people where Justin Trudeau has failed SURREY – NDP Leader Jagmeet Singh unveiled his plan today to tackle rising organized crime in B.C. and keep our kids out of gangs, taking action where Liberals have refused to act. “People in Surrey are worried about the future for their kids, but instead of listening, Justin Trudeau’s Liberals chose to spend $4.5 billion of your money on a pipeline while leaving British Columbians to tackle crime alone,” said Singh. “New Democrats have the courage to take a different approach. It’s time to look out for kids and protect our communities from the rising gang violence and organized crime that’s hurting everyday families in B.C.” An NDP government will create a $100 million fund dedicated to helping keep young people out of gangs, with a boost to programs that get youth involved in their community. New Democrats will also immediately create a dedicated RCMP anti-money laundering unit and put an end to hidden corporate ownership of real estate, to help crack down on tax evasion and fraud. “Young people who’ve been left behind need someone on their side. Preventing gang activity and tackling the housing crisis – those are the priorities of families here in Surrey and they need a government in Ottawa that takes them seriously,” said Singh. “We’re replacing empty talk with concrete action, because New Democrats are in it for you.” The NDP’s New Deal for People also gets results for B.C. families by investing in more affordable housing and fighting the climate crisis. New Democrats will safeguard the coast from the increased risk of oil spills, as a result of the high tanker traffic permitted by the Liberals, which would only be worsened by Big Oil-backed Conservatives and the Green Party that won’t rule out supporting them. ",2019-09-29
NDP,https://www.ndp.ca/news/jagmeet-singh-makes-commitments-fight-climate-change,"
Jagmeet Singh Makes Commitments to Fight Climate Change TROIS-RIVIÈRES – New Democrat Leader Jagmeet Singh and NDP MPs Ruth Ellen Brosseau (Berthier-Maskinongé) and Robert Aubin (Trois-Rivières) have committed to moving forward with the high frequency rail project and have promised major investments to help municipalities that were once again impacted by flooding. “Climate change threatens life as we know it. While Justin Trudeau and the Liberals promote their pipeline project, my team and I are presenting a concrete plan to fight climate change with Power to Change: A New Deal for Climate Action and Good Jobs,” said Singh. “Today, I reiterate my commitment about the high-frequency train project to the people of Trois-Rivières. I want to see a ground-breaking ceremony during the first year of our mandate! We’re also committed to major investments to help flood victims so that our infrastructure can be adapted to this new climate reality.” As proposed by VIA Rail, the high frequency train project will connect Jean Lesage Airport in Quebec City to Toronto, via Trois-Rivières, Montreal, Ottawa, Smith Falls, and Peterborough. It includes a dedicated lane for passenger transport. A high frequency train will reduce greenhouse gas emissions, stimulate regional economic activities, and create numerous quality jobs. In contrast with the Liberal approach, all funding for the NDP project will be public. ""It’s time to invest in projects that fight climate change, not in pipelines that threaten our environment,"" added Aubin. “Justin Trudeau's Liberals talk out of both sides of their mouths when it comes to the environment. As for the Conservatives, they don’t even mention public transit in their climate plan. That’s ridiculous! The NDP is committed to setting up a meeting between VIA Rail, the provinces involved, and key municipal stakeholders within the first 100 days. No more studies, it’s time to act!” Power to Change provides major investments to municipalities in Bethier-Maskinongé that were again impacted by flooding to help them adapt their infrastructure to face this new climate reality. The NDP will invest an additional $2.5 billion to protect people and their property from extreme weather events, such as floods. ""People in my riding were impacted by record floods again this year. Justin Trudeau adopted Stephen Harper’s weak reduction targets and Canada will only reach them 200 years too late. As for Andrew Scheer and the Conservatives, they will only make things worse,"" added Brosseau. “The NDP is proud to present an ambitious plan that will  ",2019-07-18
NDP,https://www.ndp.ca/news/ndp-statement-future-canadian-media,"
NDP Statement on the Future of Canadian Media The NDP issued the following statement: ""Today, we learned that Capitales Médias Group is in jeopardy of folding in the near future. As the owner of several regional dailies in Quebec, its disappearance will inevitably lead to major job losses. As a result, many cities in Quebec could find themselves without a local media outlet. The media crisis in Canada is real and getting worse every day. More than 16,000 jobs have been lost in the last 10 years. The difficulties that Groupe Capitales Médias are facing are not isolated, but instead reflect difficulties affecting the entire media industry. The Liberals' inaction over the past four years has put our democracy, the competitiveness of our media companies, and Quebec's cultural distinction at risk. Instead of tackling the problem and putting all media on an equal footing, Justin Trudeau's Liberal government continues to give tax breaks to web giants – corporations that hide their profits in tax havens. The time for rhetoric is over! We need a global solution that also takes regional needs into account. The NDP is the only party standing up and demanding that our traditional media be treated fairly. A healthy media industry is essential for our democracy, and Canadians deserve to receive quality information. New Democrats are calling on the federal government to end, once and for all, the privileged treatment and tax breaks given to web giants."" ",2019-08-14
NDP,https://www.ndp.ca/news/ive-heard-these-things-says-indigenous-youth-trudeaus-empty-promises,"
“I’ve Heard These Things Before” Says Indigenous Youth on Trudeau’s Empty Promises During CBC’s Face-to-Face discussion last night, a member of the Piikani First Nation named Spirit confronted Justin Trudeau on his failure to live up to his commitments on reconciliation. After Trudeau tried to spin his record, Spirit said: “I think that I've heard these things before - four years ago actually.” Since Justin Trudeau first promised action four years ago, he: Openly mocked an activist who challenged him on the Liberals’ failure to clean up mercury-contaminated water in Grassy Narrows and fund a care home for poisoning victims;
Refused to implement the United Nations Declaration on the Rights of Indigenous Peoples;
Dismissed locally elected Indigenous leaders in Saskatchewan, and said that what Indigenous youth really need is “a place to store their canoes and paddles”;
Failed to respond to four non-compliance rulings from the Canadian Human Rights Tribunal that found that the Government of Canada discriminated against First Nations kids – 48 child deaths have occurred since the first ruling in 2016;
Spent $4.5 billion dollars on a pipeline without prior consent from First Nations. Jagmeet Singh’s New Deal for People includes a real action plan that puts reconciliation at the heart of every decision.
NDP Leader Jagmeet Singh: “Before the last election, Justin Trudeau made big promises to Indigenous people. But then he mocked activists and spent $4.5 billion on a pipeline while deliberately underfunding child welfare in First Nations communities. People can’t afford four more years of Justin Trudeau’s pretty words and empty promises.” ",2019-10-01
NDP,https://www.ndp.ca/news/ndp-will-tax-multimillionaires-fund-health-care,"
NDP Will Tax Multimillionaires to Fund Health Care HAMILTON – Today, NDP Leader Jagmeet Singh is meeting with Canadians struggling with cuts to important services they rely on and the growing cost of health care expenses. Singh is proposing a tax on those with fortunes above $20 million to make sure hardworking Canadians get the services they need like pharmacare and head-to-toe health care. “New Democrats have the courage to make different choices. Unlike the Liberals and Conservatives who work for their rich and powerful friends, we will help people who are struggling to get by,” said Singh. “Our plan is simple – we can afford to help people when we have the courage to ask the super-rich to pay a little bit more to fund the services we all rely on.” For years, Liberals and Conservatives have been helping their corporate friends and the very richest to avoid taxes and hide billions offshore every year. New Democrats will bring in a tax on the multimillionaires alongside tougher enforcement to stop tax evasion both in Canada, and off-shore. “Families shouldn’t have to worry about their future. They deserve a government that is actually on their side. Canadians deserve prescription drugs covered by Medicare, and expanded health care services to cover people head-to-toe – and we can do this when the very richest pay their fair share,” concluded Singh. – 30 – Facts: The NDP’s super-wealth tax would apply a 1% tax on fortunes above $20 million.
This will be applied annually and include real estate, luxury items and investments.
This tax will apply to only the very wealthiest one tenth of one percent of Canadian households.
Over ten years, the Parliamentary Budget Officer estimates that this tax will raise almost $70 billion, starting with $5.6 billion in 2020-21 and growing to $9.5 billion by 2028-29.
It will be paired with boosted enforcement against tax evasion and penalties for millionaires who try to evade paying taxes, including regular CRA audits and third-party valuation of assets.
In June 2019, the Parliamentary Budget Officer found that Canada is losing up to $25 billion in tax revenues to overseas tax evasion by multinational corporations. ",2019-09-10
NDP,https://www.ndp.ca/news/grassy-narrows-chief-rudy-turtle-running-ndp,"
Grassy Narrows Chief Rudy Turtle Running for the NDP Trudeau let down Indigenous people, says Turtle OTTAWA – Chief Rudy Turtle of Grassy Narrows First Nation will be the NDP’s candidate in Kenora. Turtle and NDP Leader Jagmeet Singh announced Turtle’s candidacy together on Monday in Ottawa. “I’m so proud to welcome Chief Turtle to our team,” said Singh. “Together, we’re going to fight to change the government — from one that works to make life easier for multi-millionaires and big corporations, to one that’s focused on making life better for people, including Indigenous people.” Turtle said he’s running because Justin Trudeau let Indigenous people and nations down, and chose the NDP because Singh and the New Democrats aren’t beholden to wealthy corporate interests. “Justin Trudeau promised us that he’d be different, but what we got was a Prime Minister that says the right thing in public, and does something else behind closed doors,” said Chief Turtle. “When corporations ask Trudeau for something, he goes to great lengths to make their lives easier. When Indigenous communities want to work with Trudeau — on issues from clean water to community safety — we get a condescending Prime Minister who is willing to pose at ceremonies, but not willing to take action to make people’s lives better. Like millions of others, I’m tired of being let down.” Grassy Narrows families have suffered from mercury poisoning because of a corporate chemical-dumping crime that poisoned the English and Wabigoon rivers in the 1960s and ‘70s. The Liberal government promised a much-needed mercury care facility to care for the sickest residents — but has been stalling, trying to get away with delivering much less than promised, or perhaps nothing at all. “I want to join a team that walks the walk of reconciliation,” said Turtle. “Jagmeet and the NDP aren’t here to make life better for multi-millionaires, they’re here to make life better for regular people. In my community, that means taking action to improve health care regardless of where you live, making life more affordable for families, and giving young people the opportunities they need to thrive in the North.” Turtle will be acclaimed as the nominee for Kenora, as the NDP nomination period for the riding has closed.  ",2019-07-29
NDP,https://www.ndp.ca/news/its-time-new-deal-northern-ontario,"
It’s Time for a New Deal for Northern Ontario Decades of Liberal and Conservative neglect of the North have hurt people. The NDP has a plan to make life more affordable for Northerners. SUDBURY – Today, NDP candidates Charlie Angus (Timmins-James Bay), Carol Hughes (Algoma–Manitoulin–Kapuskasing), Beth Mairs (Sudbury), Stef Paquette (Nickel Belt) and Rob Boulet (Nipissing-Timiskaming) announced a New Deal for Northern Ontario. For far too long, Northerners have been finding it harder to make ends meet. The Liberal and Conservative policies failed to address the significant challenges people face in the region, and the NDP knows it is time to do things differently. “Northern families are struggling to make ends meet while the Liberals are looking out for their corporate friends,” said Hughes. “In a country as rich as Canada, we need to do better, and we can do better. Liberals and Conservatives haven’t worked for us. Only Northern Ontario New Democrats have a plan to make life more affordable, advance reconciliation, and create jobs for the region.” Trudeau’s Liberals haven’t worked for Northern Ontario – they’ve made life more expensive and haven’t done enough on climate and to deliver better services for Indigenous communities. Andrew Scheer is just more of the same of what the North has gotten from Stephen Harper and Doug Ford – cuts to the services people need. “Both the Liberals and Conservatives have undermined the economic development of Northern Ontario by refusing to invest in FedNor and failing our people,” said Angus. “We will not sit idly by while our economy slows down because of their bad decisions. The NDP will give the North its due by finally making FedNor a stand-alone regional economic development agency. That's how we will pursue job growth, long-term development, and support the growth of co-operative, Indigenous, and community enterprises.” Creating jobs in the North, protecting our environment, and setting the terms of a true nation-to-nation relationship with Indigenous people are all part of the NDP’s New Deal for Northern Ontario. ",2019-09-30
NDP,https://www.ndp.ca/news/ndp-commits-honouring-afn-promises,"
The NDP Commits to Honouring AFN Promises NDP won’t repeat the mistakes of the Liberals and Conservatives. OTTAWA – NDP Leader Jagmeet Singh and New Democrats commit to honouring the Assembly of First Nations (AFN) priorities for the next federal election. First Nations need a government they can count on and a government that is ready to work in close partnership to finally deliver the services and infrastructures First Nations need. “Many First Nations people in Canada are facing third world conditions and in a country as rich as Canada, it is simply wrong,"" said Singh. “Justin Trudeau has said pretty words but he hasn’t delivered on justice for communities like Grassy Narrows. After four years of this Liberal government, the challenges First Nations face remain unresolved. New Democrats are ready to deliver and won’t repeat the mistakes of the past.” First Nations in Canada are facing serious issues: they cannot afford another mandate of Liberal delays. The Liberals failed to deliver on their promises and we now see that for them, Reconciliation was just a slogan in their last election campaign. Not that long ago, First Nations experienced what a Conservative government means for them and Andrew Scheer has shown that he will be no different from Stephen Harper. “The NDP's track record on standing up for First Nations people is clear,” said NDP MP and candidate Charlie Angus (Timmins—James Bay). “New Democrats are ready to honour our promises. We’ll work with First Nations to protect our environment, deliver services that First Nations people can count on, and make sure every First Nations child grows up in a safe and healthy home and school.” New Democrats understand that Reconciliation is about peoples’ lives and wellbeing. We will implement the United Nations Declaration on the Rights of Indigenous Peoples and will support economic development for First Nations people driven by First Nations. ",2019-09-09
