,word,n_w
0,%,98
1,',10
2,'',62
3,'ll,1
4,'m,7
5,'re,2
6,'s,72
7,'ve,2
8,(,247
9,),251
10,",",4509
11,-,41
12,--,30
13,-30-,5
14,-Agreed.,1
15,-Backgrounder,1
16,-Backgrounder-PBO,1
17,.,3051
18,...,12
19,//2019.liberal.ca/wp-content/uploads/sites/292/2019/09/Letter-for-Franco-Ontario-Day-En.pdf,1
20,//2019.liberal.ca/wp-content/uploads/sites/292/2019/09/Liberals-file-complaint-with-Elections-Canada-about-Canada-Shooting-Sports-Association-.pdf,1
21,//action.liberal.ca/2019-national-leaders-tour/,1
22,//cpcassets.conservative.ca/wp-content/uploads/2019/10/14151516/0271ad140de44b8.pdf,1
23,//cpcassets.conservative.ca/wp-content/uploads/2019/10/15120522/52d50634b52b00b.jpg,1
24,//cpcassets.conservative.ca/wp-content/uploads/2019/10/15120538/0d1734dbea4f1b5.pdf,1
25,//globalnews.ca/news/3956042/cra-disability-tax-credit-canada/beta/,1
26,//globalnews.ca/video/5967294/federal-election-2019-anyone-want-to-go-camping-conservative-candidate-criticizing-liberals-proposed-funding-of-camping-program,1
27,//rabble.ca/news/2015/08/trudeaus-jabs-mulcair-show-gaping-holes-liberal-platform,1
28,//thelogic.co/news/exclusive/liberals-to-exempt-large-firms-from-elements-of-new-labour-code-after-federal-election/,1
29,//twitter.com/Bill_Morneau/status/1171065033889112064,1
30,//www.canada.ca/content/dam/esdc-edsc/documents/services/reports/SPAWID-SPLR-IssuePaper-MinWage-FINAL-EN.pdf,1
31,//www.cbc.ca/news/politics/federal-minimum-wage-trudeau-1.3796315,1
32,//www.cbc.ca/news/politics/mandatory-minimum-sentences-liberal-trudeau-harper-government-1.4103855,1
33,//www.conservative.ca/andrew-scheer-promises-more-support-for-canadas-veterans/,1
34,//www.ctvnews.ca/politics/cra-backs-down-in-row-with-diabetics-denied-disability-tax-credit-1.3713390,1
35,//www.ctvnews.ca/politics/cra-policy-change-prompted-diabetes-tax-credit-denials-health-groups-allege-1.3706393,1
36,//www.fin.gc.ca/frt-trf/2019/frt-trf-19-eng.asp,1
37,//www.huffingtonpost.ca/jennifer-zwicker/the-cra-is-denying-the-disability-tax-credit-to-some-with-disabilities_a_23338492/,1
38,//www.liberal.ca/openfundraising/,6
39,//www.liberal.ca/team-trudeau-2019-candidates/,1
40,//www.liberal.ca/wp-content/uploads/2019/07/Appendix-1-Annexe-1-1.pdf,1
41,//www.liberal.ca/wp-content/uploads/2019/07/Appendix-2-Annexe-2-1.pdf,1
42,//www.liberal.ca/wp-content/uploads/2019/07/Letter-for-Mr.-Yves-Côté-Commissioner-of-Canada-Elections-RE-Third-Party-Violations-1.pdf,1
43,//www.newswire.ca/news-releases/four-in-ten-renters-are-overspending-on-housing-in-canada-survey-816818392.html,1
44,//www.ourcommons.ca/Parliamentarians/en/votes/40/3/102,1
45,//www.ourcommons.ca/Parliamentarians/en/votes/42/1/111,1
46,//www.ourcommons.ca/Parliamentarians/en/votes/42/1/947/,1
47,//www.parl.ca/LegisInfo/BillDetails.aspx,1
48,//www.pbo-dpb.gc.ca/web/default/files/Documents/ElectionProposalCosting/Results/33020559_EN.pdf,1
49,//www.pbo-dpb.gc.ca/web/default/files/Documents/Reports/2019/Main_estimates_2019_20/The,1
50,//www.policyalternatives.ca/unaccommodating,1
51,//www.surreynowleader.com/news/gangs-in-surrey-the-search-for-solutions/,1
52,//www.theglobeandmail.com/news/politics/trudeau-merkel-germany-nato-spending/article34065401/,1
53,//www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/social-housing-waiting-list-reports/,1
54,//youtu.be/KZEgvB0iALc,1
55,//youtu.be/mad4EED9jyk,1
56,0,2
57,0.1,1
58,0.7,1
59,000,1
60,0M6,1
61,1,45
62,"1,000",30
63,"1,000.Make",14
64,"1,100",2
65,"1,116.In",1
66,"1,151.In",1
67,"1,200",4
68,"1,240",1
69,"1,3",1
70,"1,500",4
71,"1,6",1
72,"1,930.In",1
73,1.1,2
74,1.2,1
75,1.2-acre,1
76,1.28,1
77,1.3,1
78,1.35,2
79,1.5,8
80,1.6,2
81,1.8,1
82,10,36
83,"10,000",1
84,10-15,1
85,"10-15,000",1
86,10-storey,1
87,10.9,1
88,100,29
89,"100,000",2
90,1000,1
91,101,1
92,1010,1
93,1014,1
94,"102,049",1
95,102/,1
96,10330,1
97,105,1
98,1063,1
99,107,16
100,10:30,1
101,11,43
102,"11,000",1
103,110,1
104,1130,1
105,114,1
106,11:00,1
107,11:30,1
108,12,16
109,"12,000",1
110,"12,069",1
111,12-16,2
112,120-year-old,1
113,"126,650",1
114,12:00,1
115,13,7
116,"13,500",1
117,130,1
118,132,2
119,14,14
120,14-billion,1
121,14.4,1
122,14.Manitoba,1
123,"140,000",1
124,1405,1
125,1440,1
126,"147,000",2
127,14B,2
